crop,name,short_info,avg_length,Is_it_creeper,land_preparation,seed_treatment,sowing,irrigation,fertilizer_application,weed_control,pesticides,diseases,harvesting,image,,,Seed Rate(Kg/hect),Average Yield (Qtls/hect)
6429d4af384c06056c02b8e0,VIJAY,"Vijay is a high-yielding variety of chickpea developed by the Indian Institute of Pulses Research (IIPR). It is known for its resistance to major diseases and pests, adaptability to different agro-climatic conditions, and excellent grain quality.",The average height of the Vijay chickpea plant is around 45-50 cm.,No," The land for cultivating the Vijay chickpea variety should be prepared by plowing, harrowing, and leveling. The soil should be well-drained, fertile, and rich in organic matter.", The Vijay chickpea seeds should be treated with recommended fungicides and insecticides to protect them from soil-borne diseases and pests.," The seeds of the Vijay chickpea variety should be sown at a spacing of 30x10 cm or 45x10 cm, depending on the variety, and a depth of 3-5 cm.","The Vijay chickpea variety requires regular irrigation, especially during the critical growth stages. Irrigation should be done based on the soil and weather conditions.","A basal dose of 20-25 kg N, 40 kg P2O5, and 20 kg K2O per acre is recommended for the Vijay chickpea variety. The fertilizers should be applied based on the soil test recommendations or as per the local recommendations.",Weeds should be controlled manually or chemically with recommended herbicides.,"Pesticides should be used as per the recommendations for controlling major pests such as pod borer, gram pod borer, and Helicoverpa armigera.",The Vijay chickpea variety is resistant to diseases such as Fusarium wilt and Ascochyta blight. Proper disease management practices should be followed to prevent other diseases," The Vijay chickpea variety should be harvested when the pods are mature and dry, which usually occurs around 120-130 days after sowing. The chickpeas should be threshed and cleaned before storage.",,,The recommended seed rate for the Vijay variety of chickpea is 40-50 kg/ha., 15-18 qtls/ha.,
6429d4af384c06056c02b8e0,VISHAL," A high-yielding variety of chickpea developed by MPKV, Rahuri in 1995. It has a medium duration of 115-120 days and is resistant to wilt and dry root rot.", 45-50 cm,No,Plough the field 2-3 times and harrow it to obtain a fine tilth., Treat the seeds with Captan or Thiram @ 2 g/kg of seed before sowing.,Sow the seeds in rows at a distance of 30 cm between rows and 10 cm between plants,Provide irrigation immediately after sowing and subsequent irrigations at an interval of 10-12 days.," Apply 20-25 kg/ha of Nitrogen, 40-50 kg/ha of Phosphorus, and 20-25 kg/ha of Potassium as a basal dose. Apply Nitrogen @ 20 kg/ha and Potassium @ 10-15 kg/ha at the time of flowering.",Hand-weed the field at 20 and 40 days after sowing. Apply Atrazine @ 0.5-1.0 kg/ha at 20-25 days after sowing for effective control of weeds.,Apply Carbendazim @ 1 g/lit or Mancozeb @ 2 g/lit for control of diseases like wilt and dry root rot.,"Vishal variety is resistant to wilt and dry root rot. However, in case of disease incidence, apply Carbendazim @ 1 g/lit or Mancozeb @ 2 g/lit.","Harvest the crop when the pods turn brown and dry. Cut the plants at the base and stack them in small heaps in the field for drying. After drying, thresh the crop to separate the grains.",,, 60-70 kg/ha,"20-25 q/ha



",
6429d4af384c06056c02b8e0,PKV KABULI-2,"PKV KABULI-2 is a variety of chickpea developed by Dr. Panjabrao Deshmukh Krishi Vidyapeeth, Akola.",45-50 cm,Non-creeper,"Deep ploughing followed by harrowing and leveling. The field is prepared by two or three ploughings, followed by harrowing and leveling.",Seed treatment with Rhizobium culture before sowing.,Sowing is done in the second fortnight of October.,The first irrigation is given immediately after sowing. The second irrigation is given after 20 days of sowing.,"Nitrogen (20 kg), Phosphorus (60 kg) and Potassium (40 kg) per hectare.",Pre-emergence application of Pendimethalin (Stomp) or Imazethapyr (Pursuit) @ 1.0 kg a.i/ha or Post-emergence application of Imazethapyr (Pursuit) @ 70 g a.i/ha.,Spraying of Thiamethoxam (Cruiser) @ 0.3 ml/lit. or Chlorantraniliprole (Coragen) @ 0.4 g/lit. for the control of pod borer.,"Ascochyta blight, Botrytis gray mold and Fusarium wilt.",Chickpea crop is ready for harvesting in 130-140 days after sowing.,,,80-100 kg,18-20 q/ha.,
6429d4af384c06056c02b8e0,VIRAT,A high-yielding desi type chickpea variety with tolerance to drought and wilt diseases.,60-70 cm,No,The field should be ploughed thoroughly and harrowed two to three times to achieve a fine tilth.,Seeds should be treated with Rhizobium culture before sowing.,Sowing should be done in the first fortnight of November.,Irrigation should be given immediately after sowing and the subsequent irrigation should be given at 25-30 days interval depending upon the soil type and weather condition.,"Basal application of 20-25 kg N, 60-70 kg P2O5, and 30-35 kg K2O per hectare should be given.",Pre-emergence application of Pendimethalin @ 0.75 kg/ha or Quizalofop-p-ethyl @ 0.1 kg/ha should be done for weed control.,Carbendazim @ 0.1% should be used for seed treatment against seed-borne diseases.,"The crop should be monitored regularly for wilt disease and if the disease is observed, the field should be drenched with Carbendazim @ 0.1%.",The crop should be harvested when 80% of the pods turn yellow or brown.,,,80-90,12-14q/ha,
6429d4af384c06056c02b8e0,AKG-1109 (PDKV KANCHAN),AKG-1109 (PDKV KANCHAN) variety developed by PDKV Akola,30-35 cm,Semi-spreading,"Summer ploughing twice, Cross harrowing once",Seed treatment with Carbendazim 2 gm/kg of seed,"2-3 cm depth, row to row distance 30-45 cm, plant to plant distance 10-15 cm",Irrigation at 25-30 days interval depending upon soil moisture availability,25 kg N + 60 kg P2O5 per hectare as basal and 30 kg N per hectare at 25-30 days after sowing,One hoeing and weeding at 25-30 days after sowing,Spraying of Chlorpyriphos 20 EC @ 2 ml/lit of water at 25-30 days after sowing and second spray of Chlorpyriphos 20 EC @ 2 ml/lit of water and Carbendazim 50 WP @ 2 gm/lit of water at 50-55 days after sowing,"Fusarium wilt, Botrytis grey mould and Ascochyta blight",When 75-80% pods turn brown,,,80-100,15-18 q/ha,
6429d4af384c06056c02b8e0,PHULE VIKARM,"2.5-3.0 feet tall plant, 100-110 days maturity period, resistant to wilt and gram-pod borer",15-20,Not creeper,Land should be prepared to fine tilth stage and weed free,Seed treatment with Rhizobium culture @ 40 g/kg seed and PSB @ 20 g/kg seed,Sow the seeds in lines at 45 cm spacing,Irrigation should be done at 15-20 days interval,"Apply 20 kg N, 40 kg P2O5 and 40 kg K2O per hectare as basal dose",Pre-emergence application of Pendimethalin @ 1.0 kg/ha or quizalofop-ethyl @ 0.05 kg/ha or clethodim @ 0.075 kg/ha or imazethapyr @ 0.05 kg/ha or sulfosulfuron @ 0.025 kg/ha or fenoxaprop-p-ethyl @ 0.05 kg/ha,"Spray Dimethoate @ 0.05% or monocrotophos @ 0.05% or carbaryl @ 0.15% or NSKE 5% or neem oil @ 3% to control pests like pod borer, jassids and aphids","The crop may get infected by diseases like Fusarium wilt, Ascochyta blight and Cercospora leaf spot, for which appropriate measures should be taken",The crop should be harvested when the plants have turned yellow and the pods are dry. The pods should be sun-dried and threshed.,,,80-100,10-12 qtl/h,
6429d4af384c06056c02b8e0,BDNGK-798,"BDNGK-798 variety is an early maturing, high yielding chickpea variety with a short duration of 85-90 days.",40-50 cm,Semi-erect,Ploughing followed by harrowing and leveling,Seed treatment with Rhizobium and phosphobacteria before sowing,Sowing is done in rows spaced at 30-40 cm apart.,Irrigation is done at 15 days interval,20 kg N and 40 kg P2O5 per hectare is recommended as basal dose,Hand weeding twice at 25 and 45 days after sowing,Application of chlorpyrifos 20 EC (2 ml/lit) at 25 and 45 days after sowing for the control of pod borer,Leaf spot and wilt diseases are the major diseases in BDNGK-798. Seed treatment with carbendazim (2g/kg seed) is recommended to control these diseases,Harvesting is done when the plants mature and turn yellow. The crop is then threshed and cleaned.,,,80-100 kg,10-12 qtl/ha,
6429d4af384c06056c02b8e0,RAJ VIJAY-202,Raj Vijay-202 is an early maturing desi chickpea variety,10-12 cm,Non-creeper,Ploughing,Seed treatment with Carbendazim @ 2.5g/kg of seed and Rhizobium,Sowing is done in the 2nd fortnight of October,Irrigation is given at 10-12 days interval,"Fertilizer application is done in two splits, 20 kg N + 40 kg P2O5 /ha as basal and 20 kg N /ha at flowering stage",Pre-emergence application of Pendimethalin @1kg/ha or hand weeding,Spraying of Pseudomonas fluorescens @ 10g/litre of water and Neem oil @2% or spraying of Chlorpyriphos @20ml/10 litre of water at pod formation stage,"Yellow mosaic virus, pod borer, wilt, blight, and rust",Harvesting is done when the crop reaches physiological maturity,,,45-50,15-20,
6429d4af384c06056c02b8e0,DIGVIJAY,"DIGVIJAY is a medium duration (110-115 days) desi chickpea variety, released by IARI in 2014.",14-16 cm,No,The land should be prepared by ploughing and harrowing 2-3 times to make a fine seedbed. The field should be levelled properly.,Seeds should be treated with Rhizobium culture @ 40 g/kg of seed and PSB culture @ 20 g/kg of seed.,Sowing should be done in rows at a distance of 30-40 cm with a seed drill. The recommended seed rate is 60-80 kg/ha.,Irrigation should be provided at critical stages like flowering and pod filling.,Nitrogen should be applied at 20 kg/ha as basal and 20 kg/ha as top dressing at 30 days after sowing. Phosphorus should be applied at 60 kg/ha as basal.,Pre-emergence application of Pendimethalin @ 1 kg/ha or Trifluralin @ 1.5 kg/ha can be done to control weeds.,Spray Chlorpyriphos 20 EC @ 2 ml/L of water to control pod borer.,"Diseases like wilt, blight, and powdery mildew can be controlled by spraying fungicides like Carbendazim @ 1 g/L of water or Tricyclazole @ 1 g/L of water.",Harvesting should be done when the pods turn yellow and leaves start drying. The pods should be sun-dried and threshed.,,,60-80,16-18,
6429d4af384c06056c02b8e0,PHULE VIKRANT,"Phule Vikrant is a mid-season variety released by VNMKV, Parbhani.",40-50,Yes,Prepare the land by plowing 3-4 times and make beds of 3-4 ft width.,Treat seeds with Carbendazim (2g/kg of seed) or Thiram (3g/kg of seed) before sowing.,Sow seeds in rows at a distance of 30-45 cm.,Irrigate immediately after sowing and subsequent irrigations should be done at 7-10 days interval.,Apply 20-25 kg N and 40-50 kg P2O5/ha as basal and remaining N should be applied in split doses at 30 and 60 days after sowing.,Hand weeding should be done 20-25 days after sowing.,Spraying of Chlorpyriphos (20 EC) at 1.5 ml/lit or Imidacloprid (17.8 SL) at 0.5 ml/lit at 20 and 40 days after sowing.,"Fusarium wilt, Ascochyta blight, and Botrytis gray mold are the major diseases of chickpea.",Harvest the crop after the plants turn yellow and start drying.,,,60-70,10-12 q/ha,